"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Jagajaga","Total participants"," 1,208 "," 3,422 "," 3,301 "," 3,356 "," 3,777 "," 4,137 "," 4,243 "," 4,069 "," 4,223 "," 4,000 "," 3,423 "," 2,819 "," 1,911 "," 1,342 "," 1,455 "," 46,686 "," 88,806 "
"Jagajaga","Eligible participants"," 1,366 "," 3,971 "," 3,889 "," 4,025 "," 4,409 "," 4,817 "," 4,926 "," 4,627 "," 4,704 "," 4,441 "," 3,760 "," 3,080 "," 2,155 "," 1,562 "," 1,840 "," 53,572 "," 104,169 "
"Jagajaga","Participation rate (%)"," 88.4 "," 86.2 "," 84.9 "," 83.4 "," 85.7 "," 85.9 "," 86.1 "," 87.9 "," 89.8 "," 90.1 "," 91.0 "," 91.5 "," 88.7 "," 85.9 "," 79.1 "," 87.1 "," 85.3 "
"Kooyong","Total participants"," 1,473 "," 4,198 "," 3,671 "," 2,951 "," 2,989 "," 3,351 "," 4,298 "," 4,186 "," 3,927 "," 3,535 "," 3,174 "," 2,684 "," 1,977 "," 1,460 "," 1,974 "," 45,848 "," 86,552 "
"Kooyong","Eligible participants"," 1,632 "," 4,806 "," 4,288 "," 3,498 "," 3,574 "," 3,982 "," 4,961 "," 4,716 "," 4,403 "," 3,918 "," 3,486 "," 2,939 "," 2,180 "," 1,660 "," 2,503 "," 52,546 "," 100,699 "
"Kooyong","Participation rate (%)"," 90.3 "," 87.3 "," 85.6 "," 84.4 "," 83.6 "," 84.2 "," 86.6 "," 88.8 "," 89.2 "," 90.2 "," 91.0 "," 91.3 "," 90.7 "," 88.0 "," 78.9 "," 87.3 "," 86.0 "
"Lalor","Total participants"," 1,492 "," 4,222 "," 4,359 "," 5,860 "," 5,805 "," 5,191 "," 5,131 "," 4,497 "," 3,993 "," 3,270 "," 2,823 "," 2,018 "," 1,221 "," 803 "," 627 "," 51,312 "," 100,836 "
"Lalor","Eligible participants"," 1,814 "," 5,547 "," 5,890 "," 8,178 "," 7,996 "," 6,632 "," 6,265 "," 5,388 "," 4,762 "," 3,803 "," 3,197 "," 2,320 "," 1,416 "," 987 "," 844 "," 65,039 "," 130,963 "
"Lalor","Participation rate (%)"," 82.2 "," 76.1 "," 74.0 "," 71.7 "," 72.6 "," 78.3 "," 81.9 "," 83.5 "," 83.9 "," 86.0 "," 88.3 "," 87.0 "," 86.2 "," 81.4 "," 74.3 "," 78.9 "," 77.0 "
"La Trobe","Total participants"," 1,563 "," 4,065 "," 3,458 "," 3,663 "," 4,029 "," 4,689 "," 5,142 "," 4,526 "," 4,319 "," 3,597 "," 3,146 "," 2,299 "," 1,480 "," 953 "," 880 "," 47,809 "," 91,901 "
"La Trobe","Eligible participants"," 1,809 "," 4,941 "," 4,306 "," 4,537 "," 4,976 "," 5,642 "," 6,051 "," 5,254 "," 4,912 "," 4,012 "," 3,477 "," 2,559 "," 1,617 "," 1,080 "," 1,071 "," 56,244 "," 110,903 "
"La Trobe","Participation rate (%)"," 86.4 "," 82.3 "," 80.3 "," 80.7 "," 81.0 "," 83.1 "," 85.0 "," 86.1 "," 87.9 "," 89.7 "," 90.5 "," 89.8 "," 91.5 "," 88.2 "," 82.2 "," 85.0 "," 82.9 "
"Mallee","Total participants"," 1,010 "," 2,563 "," 2,464 "," 2,269 "," 2,325 "," 2,748 "," 3,296 "," 3,503 "," 4,073 "," 3,922 "," 3,661 "," 3,010 "," 2,521 "," 1,843 "," 1,939 "," 41,147 "," 78,649 "
"Mallee","Eligible participants"," 1,292 "," 3,541 "," 3,523 "," 3,206 "," 3,190 "," 3,547 "," 4,163 "," 4,284 "," 4,788 "," 4,487 "," 4,113 "," 3,354 "," 2,835 "," 2,129 "," 2,485 "," 50,937 "," 99,856 "
"Mallee","Participation rate (%)"," 78.2 "," 72.4 "," 69.9 "," 70.8 "," 72.9 "," 77.5 "," 79.2 "," 81.8 "," 85.1 "," 87.4 "," 89.0 "," 89.7 "," 88.9 "," 86.6 "," 78.0 "," 80.8 "," 78.8 "
"Maribyrnong","Total participants"," 1,113 "," 3,793 "," 3,735 "," 3,659 "," 3,585 "," 3,752 "," 4,151 "," 3,963 "," 3,932 "," 3,673 "," 3,331 "," 2,689 "," 2,201 "," 1,600 "," 1,624 "," 46,801 "," 89,226 "
"Maribyrnong","Eligible participants"," 1,342 "," 4,713 "," 4,771 "," 4,733 "," 4,680 "," 4,891 "," 5,219 "," 4,812 "," 4,696 "," 4,268 "," 3,869 "," 3,106 "," 2,572 "," 1,941 "," 2,184 "," 57,797 "," 112,988 "
"Maribyrnong","Participation rate (%)"," 82.9 "," 80.5 "," 78.3 "," 77.3 "," 76.6 "," 76.7 "," 79.5 "," 82.4 "," 83.7 "," 86.1 "," 86.1 "," 86.6 "," 85.6 "," 82.4 "," 74.4 "," 81.0 "," 79.0 "
"McEwen","Total participants"," 1,779 "," 4,710 "," 4,965 "," 5,765 "," 5,717 "," 5,645 "," 5,856 "," 5,261 "," 4,984 "," 4,346 "," 3,738 "," 2,735 "," 1,570 "," 963 "," 906 "," 58,940 "," 113,089 "
"McEwen","Eligible participants"," 2,088 "," 5,961 "," 6,427 "," 7,384 "," 7,200 "," 6,946 "," 7,063 "," 6,183 "," 5,716 "," 4,919 "," 4,151 "," 3,026 "," 1,769 "," 1,124 "," 1,125 "," 71,082 "," 140,055 "
"McEwen","Participation rate (%)"," 85.2 "," 79.0 "," 77.3 "," 78.1 "," 79.4 "," 81.3 "," 82.9 "," 85.1 "," 87.2 "," 88.4 "," 90.1 "," 90.4 "," 88.8 "," 85.7 "," 80.5 "," 82.9 "," 80.7 "
"McMillan","Total participants"," 1,279 "," 3,454 "," 3,617 "," 3,811 "," 3,668 "," 3,681 "," 4,279 "," 4,273 "," 4,656 "," 4,661 "," 4,668 "," 3,874 "," 2,594 "," 1,671 "," 1,726 "," 51,912 "," 98,351 "
"McMillan","Eligible participants"," 1,537 "," 4,632 "," 4,825 "," 4,991 "," 4,638 "," 4,614 "," 5,188 "," 4,993 "," 5,309 "," 5,177 "," 5,140 "," 4,241 "," 2,907 "," 1,935 "," 2,193 "," 62,320 "," 120,754 "
"McMillan","Participation rate (%)"," 83.2 "," 74.6 "," 75.0 "," 76.4 "," 79.1 "," 79.8 "," 82.5 "," 85.6 "," 87.7 "," 90.0 "," 90.8 "," 91.3 "," 89.2 "," 86.4 "," 78.7 "," 83.3 "," 81.4 "
"Melbourne","Total participants"," 1,103 "," 4,922 "," 8,180 "," 7,344 "," 5,235 "," 3,866 "," 3,589 "," 3,092 "," 2,971 "," 2,842 "," 2,402 "," 1,708 "," 1,159 "," 799 "," 741 "," 49,953 "," 97,308 "
"Melbourne","Eligible participants"," 1,284 "," 5,906 "," 9,483 "," 8,651 "," 6,264 "," 4,579 "," 4,293 "," 3,614 "," 3,458 "," 3,278 "," 2,724 "," 1,974 "," 1,390 "," 1,049 "," 1,021 "," 58,968 "," 117,462 "
"Melbourne","Participation rate (%)"," 85.9 "," 83.3 "," 86.3 "," 84.9 "," 83.6 "," 84.4 "," 83.6 "," 85.6 "," 85.9 "," 86.7 "," 88.2 "," 86.5 "," 83.4 "," 76.2 "," 72.6 "," 84.7 "," 82.8 "
"Melbourne Ports","Total participants"," 746 "," 3,153 "," 4,869 "," 5,363 "," 4,588 "," 4,033 "," 4,034 "," 3,441 "," 3,393 "," 3,118 "," 2,822 "," 2,147 "," 1,353 "," 917 "," 1,065 "," 45,042 "," 86,310 "
"Melbourne Ports","Eligible participants"," 837 "," 3,807 "," 5,931 "," 6,601 "," 5,668 "," 4,825 "," 4,754 "," 3,984 "," 3,866 "," 3,505 "," 3,170 "," 2,454 "," 1,592 "," 1,140 "," 1,497 "," 53,631 "," 105,055 "
"Melbourne Ports","Participation rate (%)"," 89.1 "," 82.8 "," 82.1 "," 81.2 "," 80.9 "," 83.6 "," 84.9 "," 86.4 "," 87.8 "," 89.0 "," 89.0 "," 87.5 "," 85.0 "," 80.4 "," 71.1 "," 84.0 "," 82.2 "
"Menzies","Total participants"," 1,273 "," 3,273 "," 2,554 "," 2,390 "," 2,716 "," 3,194 "," 4,016 "," 4,106 "," 3,927 "," 3,554 "," 3,376 "," 3,270 "," 2,484 "," 1,721 "," 1,530 "," 43,384 "," 83,021 "
"Menzies","Eligible participants"," 1,442 "," 3,854 "," 3,122 "," 3,020 "," 3,346 "," 3,858 "," 4,753 "," 4,737 "," 4,522 "," 3,998 "," 3,829 "," 3,625 "," 2,763 "," 1,980 "," 1,920 "," 50,769 "," 98,766 "
"Menzies","Participation rate (%)"," 88.3 "," 84.9 "," 81.8 "," 79.1 "," 81.2 "," 82.8 "," 84.5 "," 86.7 "," 86.8 "," 88.9 "," 88.2 "," 90.2 "," 89.9 "," 86.9 "," 79.7 "," 85.5 "," 84.1 "
"Murray","Total participants"," 1,080 "," 2,714 "," 2,495 "," 2,549 "," 2,616 "," 2,937 "," 3,501 "," 3,801 "," 4,229 "," 4,262 "," 4,001 "," 3,401 "," 2,523 "," 1,809 "," 1,764 "," 43,682 "," 84,014 "
"Murray","Eligible participants"," 1,336 "," 3,760 "," 3,506 "," 3,493 "," 3,485 "," 3,831 "," 4,395 "," 4,603 "," 4,924 "," 4,852 "," 4,496 "," 3,771 "," 2,853 "," 2,090 "," 2,238 "," 53,633 "," 105,574 "
"Murray","Participation rate (%)"," 80.8 "," 72.2 "," 71.2 "," 73.0 "," 75.1 "," 76.7 "," 79.7 "," 82.6 "," 85.9 "," 87.8 "," 89.0 "," 90.2 "," 88.4 "," 86.6 "," 78.8 "," 81.4 "," 79.6 "
"Scullin","Total participants"," 1,393 "," 3,942 "," 3,785 "," 3,901 "," 3,865 "," 3,946 "," 4,378 "," 4,250 "," 4,254 "," 3,686 "," 3,265 "," 2,434 "," 1,746 "," 1,144 "," 884 "," 46,873 "," 90,749 "
"Scullin","Eligible participants"," 1,643 "," 4,919 "," 4,879 "," 5,155 "," 4,984 "," 4,980 "," 5,350 "," 5,136 "," 4,950 "," 4,227 "," 3,711 "," 2,796 "," 2,037 "," 1,402 "," 1,170 "," 57,339 "," 113,566 "
"Scullin","Participation rate (%)"," 84.8 "," 80.1 "," 77.6 "," 75.7 "," 77.5 "," 79.2 "," 81.8 "," 82.7 "," 85.9 "," 87.2 "," 88.0 "," 87.1 "," 85.7 "," 81.6 "," 75.6 "," 81.7 "," 79.9 "
"Wannon","Total participants"," 1,057 "," 2,612 "," 2,248 "," 2,364 "," 2,484 "," 2,764 "," 3,439 "," 3,772 "," 4,193 "," 4,229 "," 4,008 "," 3,297 "," 2,434 "," 1,707 "," 1,804 "," 42,412 "," 81,212 "
"Wannon","Eligible participants"," 1,296 "," 3,506 "," 3,037 "," 3,109 "," 3,181 "," 3,495 "," 4,199 "," 4,456 "," 4,882 "," 4,730 "," 4,410 "," 3,614 "," 2,688 "," 1,925 "," 2,266 "," 50,794 "," 99,781 "
"Wannon","Participation rate (%)"," 81.6 "," 74.5 "," 74.0 "," 76.0 "," 78.1 "," 79.1 "," 81.9 "," 84.6 "," 85.9 "," 89.4 "," 90.9 "," 91.2 "," 90.6 "," 88.7 "," 79.6 "," 83.5 "," 81.4 "
"Wills","Total participants"," 1,001 "," 4,539 "," 5,904 "," 5,998 "," 5,382 "," 4,630 "," 4,406 "," 3,855 "," 3,514 "," 2,920 "," 2,424 "," 1,999 "," 1,865 "," 1,665 "," 1,667 "," 51,769 "," 98,099 "
"Wills","Eligible participants"," 1,152 "," 5,311 "," 6,846 "," 7,026 "," 6,344 "," 5,442 "," 5,199 "," 4,524 "," 4,029 "," 3,320 "," 2,831 "," 2,319 "," 2,259 "," 2,099 "," 2,253 "," 60,954 "," 118,268 "
"Wills","Participation rate (%)"," 86.9 "," 85.5 "," 86.2 "," 85.4 "," 84.8 "," 85.1 "," 84.7 "," 85.2 "," 87.2 "," 88.0 "," 85.6 "," 86.2 "," 82.6 "," 79.3 "," 74.0 "," 84.9 "," 82.9 "
"Victoria (Total)","Total participants"," 44,520 "," 130,855 "," 134,506 "," 139,483 "," 137,849 "," 141,735 "," 156,738 "," 148,344 "," 150,084 "," 138,943 "," 128,102 "," 104,198 "," 74,643 "," 52,672 "," 53,923 "," 1,736,595 "," 3,317,755 "
"Victoria (Total)","Eligible participants"," 52,518 "," 163,269 "," 169,260 "," 176,568 "," 172,864 "," 173,926 "," 188,193 "," 174,218 "," 173,138 "," 157,489 "," 143,372 "," 116,423 "," 84,649 "," 62,018 "," 69,272 "," 2,077,177 "," 4,061,389 "
"Victoria (Total)","Participation rate (%)"," 84.8 "," 80.1 "," 79.5 "," 79.0 "," 79.7 "," 81.5 "," 83.3 "," 85.1 "," 86.7 "," 88.2 "," 89.3 "," 89.5 "," 88.2 "," 84.9 "," 77.8 "," 83.6 "," 81.7 "
"Blair","Total participants"," 1,122 "," 3,275 "," 3,487 "," 3,732 "," 3,272 "," 3,238 "," 3,581 "," 3,557 "," 3,733 "," 3,202 "," 2,888 "," 2,410 "," 1,649 "," 1,073 "," 968 "," 41,187 "," 78,883 "
"Blair","Eligible participants"," 1,486 "," 4,852 "," 4,965 "," 5,007 "," 4,374 "," 4,308 "," 4,538 "," 4,311 "," 4,410 "," 3,698 "," 3,302 "," 2,673 "," 1,891 "," 1,228 "," 1,202 "," 52,245 "," 102,858 "
"Blair","Participation rate (%)"," 75.5 "," 67.5 "," 70.2 "," 74.5 "," 74.8 "," 75.2 "," 78.9 "," 82.5 "," 84.6 "," 86.6 "," 87.5 "," 90.2 "," 87.2 "," 87.4 "," 80.5 "," 78.8 "," 76.7 "
"Bonner","Total participants"," 1,310 "," 3,361 "," 2,920 "," 3,366 "," 3,640 "," 4,072 "," 4,304 "," 3,976 "," 3,838 "," 3,367 "," 3,063 "," 2,553 "," 1,918 "," 1,435 "," 1,520 "," 44,643 "," 84,239 "
"Bonner","Eligible participants"," 1,568 "," 4,195 "," 3,704 "," 4,232 "," 4,537 "," 4,929 "," 5,093 "," 4,645 "," 4,380 "," 3,752 "," 3,384 "," 2,801 "," 2,118 "," 1,602 "," 1,852 "," 52,792 "," 102,220 "
"Bonner","Participation rate (%)"," 83.5 "," 80.1 "," 78.8 "," 79.5 "," 80.2 "," 82.6 "," 84.5 "," 85.6 "," 87.6 "," 89.7 "," 90.5 "," 91.1 "," 90.6 "," 89.6 "," 82.1 "," 84.6 "," 82.4 "
"Bowman","Total participants"," 1,252 "," 3,071 "," 2,795 "," 2,974 "," 3,081 "," 3,493 "," 4,092 "," 4,181 "," 4,437 "," 4,188 "," 4,064 "," 3,245 "," 2,129 "," 1,384 "," 1,418 "," 45,804 "," 86,376 "
"Bowman","Eligible participants"," 1,506 "," 3,972 "," 3,645 "," 3,822 "," 3,882 "," 4,416 "," 4,983 "," 4,958 "," 5,133 "," 4,736 "," 4,470 "," 3,550 "," 2,361 "," 1,567 "," 1,759 "," 54,760 "," 106,067 "
"Bowman","Participation rate (%)"," 83.1 "," 77.3 "," 76.7 "," 77.8 "," 79.4 "," 79.1 "," 82.1 "," 84.3 "," 86.4 "," 88.4 "," 90.9 "," 91.4 "," 90.2 "," 88.3 "," 80.6 "," 83.6 "," 81.4 "
"Brisbane","Total participants"," 1,447 "," 5,414 "," 5,831 "," 4,954 "," 4,277 "," 3,984 "," 4,300 "," 3,613 "," 3,376 "," 2,811 "," 2,312 "," 1,727 "," 1,158 "," 833 "," 1,063 "," 47,100 "," 91,733 "
"Brisbane","Eligible participants"," 1,741 "," 6,705 "," 7,059 "," 6,129 "," 5,197 "," 4,749 "," 5,065 "," 4,153 "," 3,852 "," 3,166 "," 2,603 "," 1,917 "," 1,299 "," 944 "," 1,287 "," 55,866 "," 112,389 "
"Brisbane","Participation rate (%)"," 83.1 "," 80.7 "," 82.6 "," 80.8 "," 82.3 "," 83.9 "," 84.9 "," 87.0 "," 87.6 "," 88.8 "," 88.8 "," 90.1 "," 89.1 "," 88.2 "," 82.6 "," 84.3 "," 81.6 "
"Capricornia","Total participants"," 963 "," 2,543 "," 2,855 "," 2,984 "," 2,875 "," 2,965 "," 3,480 "," 3,470 "," 3,800 "," 3,221 "," 2,875 "," 2,258 "," 1,663 "," 1,198 "," 1,028 "," 38,178 "," 74,064 "
"Capricornia","Eligible participants"," 1,333 "," 3,857 "," 4,202 "," 4,374 "," 4,089 "," 4,098 "," 4,544 "," 4,352 "," 4,562 "," 3,778 "," 3,263 "," 2,558 "," 1,923 "," 1,398 "," 1,322 "," 49,653 "," 98,960 "
"Capricornia","Participation rate (%)"," 72.2 "," 65.9 "," 67.9 "," 68.2 "," 70.3 "," 72.4 "," 76.6 "," 79.7 "," 83.3 "," 85.3 "," 88.1 "," 88.3 "," 86.5 "," 85.7 "," 77.8 "," 76.9 "," 74.8 "
"Dawson","Total participants"," 918 "," 2,565 "," 2,784 "," 2,988 "," 2,887 "," 3,227 "," 3,702 "," 3,798 "," 4,022 "," 3,529 "," 2,966 "," 2,365 "," 1,685 "," 1,171 "," 1,018 "," 39,625 "," 77,343 "
"Dawson","Eligible participants"," 1,244 "," 3,969 "," 4,201 "," 4,390 "," 4,186 "," 4,469 "," 4,867 "," 4,796 "," 4,869 "," 4,168 "," 3,384 "," 2,682 "," 1,902 "," 1,384 "," 1,297 "," 51,808 "," 104,286 "
"Dawson","Participation rate (%)"," 73.8 "," 64.6 "," 66.3 "," 68.1 "," 69.0 "," 72.2 "," 76.1 "," 79.2 "," 82.6 "," 84.7 "," 87.6 "," 88.2 "," 88.6 "," 84.6 "," 78.5 "," 76.5 "," 74.2 "
"Dickson","Total participants"," 1,371 "," 3,219 "," 3,101 "," 3,323 "," 3,743 "," 4,157 "," 4,528 "," 3,982 "," 3,871 "," 3,399 "," 3,292 "," 2,439 "," 1,374 "," 802 "," 761 "," 43,362 "," 83,384 "
"Dickson","Eligible participants"," 1,622 "," 4,228 "," 4,037 "," 4,207 "," 4,615 "," 5,097 "," 5,385 "," 4,648 "," 4,429 "," 3,815 "," 3,601 "," 2,650 "," 1,515 "," 931 "," 984 "," 51,764 "," 101,911 "
"Dickson","Participation rate (%)"," 84.5 "," 76.1 "," 76.8 "," 79.0 "," 81.1 "," 81.6 "," 84.1 "," 85.7 "," 87.4 "," 89.1 "," 91.4 "," 92.0 "," 90.7 "," 86.1 "," 77.3 "," 83.8 "," 81.8 "
"Fadden","Total participants"," 1,245 "," 3,403 "," 3,112 "," 3,133 "," 3,254 "," 3,562 "," 3,988 "," 3,862 "," 3,920 "," 3,803 "," 3,875 "," 3,317 "," 2,113 "," 1,340 "," 1,229 "," 45,156 "," 84,587 "
"Fadden","Eligible participants"," 1,606 "," 4,844 "," 4,563 "," 4,434 "," 4,474 "," 4,759 "," 5,118 "," 4,796 "," 4,728 "," 4,388 "," 4,383 "," 3,692 "," 2,388 "," 1,553 "," 1,550 "," 57,276 "," 110,821 "
"Fadden","Participation rate (%)"," 77.5 "," 70.3 "," 68.2 "," 70.7 "," 72.7 "," 74.8 "," 77.9 "," 80.5 "," 82.9 "," 86.7 "," 88.4 "," 89.8 "," 88.5 "," 86.3 "," 79.3 "," 78.8 "," 76.3 "
"Fairfax","Total participants"," 1,193 "," 2,972 "," 2,825 "," 3,042 "," 3,309 "," 3,847 "," 4,455 "," 4,476 "," 4,681 "," 4,524 "," 4,361 "," 3,587 "," 2,450 "," 1,633 "," 1,620 "," 48,975 "," 91,238 "
"Fairfax","Eligible participants"," 1,499 "," 3,975 "," 3,780 "," 3,979 "," 4,239 "," 4,843 "," 5,404 "," 5,306 "," 5,427 "," 5,069 "," 4,818 "," 3,953 "," 2,714 "," 1,841 "," 1,991 "," 58,838 "," 112,573 "
"Fairfax","Participation rate (%)"," 79.6 "," 74.8 "," 74.7 "," 76.5 "," 78.1 "," 79.4 "," 82.4 "," 84.4 "," 86.3 "," 89.2 "," 90.5 "," 90.7 "," 90.3 "," 88.7 "," 81.4 "," 83.2 "," 81.0 "
"Fisher","Total participants"," 1,140 "," 2,576 "," 2,347 "," 2,591 "," 2,811 "," 3,290 "," 3,684 "," 3,797 "," 4,085 "," 4,111 "," 4,207 "," 3,762 "," 2,619 "," 1,702 "," 1,610 "," 44,332 "," 83,064 "
"Fisher","Eligible participants"," 1,419 "," 3,538 "," 3,250 "," 3,453 "," 3,686 "," 4,166 "," 4,569 "," 4,530 "," 4,736 "," 4,622 "," 4,633 "," 4,074 "," 2,894 "," 1,911 "," 1,962 "," 53,443 "," 102,689 "
"Fisher","Participation rate (%)"," 80.3 "," 72.8 "," 72.2 "," 75.0 "," 76.3 "," 79.0 "," 80.6 "," 83.8 "," 86.3 "," 88.9 "," 90.8 "," 92.3 "," 90.5 "," 89.1 "," 82.1 "," 83.0 "," 80.9 "
"Flynn","Total participants"," 815 "," 2,418 "," 2,765 "," 3,185 "," 2,959 "," 3,277 "," 3,602 "," 3,779 "," 3,968 "," 3,331 "," 2,894 "," 2,237 "," 1,485 "," 818 "," 732 "," 38,265 "," 76,065 "
"Flynn","Eligible participants"," 1,126 "," 3,804 "," 4,161 "," 4,540 "," 4,181 "," 4,403 "," 4,652 "," 4,627 "," 4,703 "," 3,811 "," 3,253 "," 2,460 "," 1,662 "," 940 "," 919 "," 49,242 "," 100,594 "
"Flynn","Participation rate (%)"," 72.4 "," 63.6 "," 66.5 "," 70.2 "," 70.8 "," 74.4 "," 77.4 "," 81.7 "," 84.4 "," 87.4 "," 89.0 "," 90.9 "," 89.4 "," 87.0 "," 79.7 "," 77.7 "," 75.6 "
"Forde","Total participants"," 1,152 "," 3,234 "," 3,344 "," 3,508 "," 3,416 "," 3,527 "," 3,733 "," 3,345 "," 3,600 "," 3,262 "," 3,221 "," 2,471 "," 1,527 "," 980 "," 825 "," 41,145 "," 77,753 "
"Forde","Eligible participants"," 1,484 "," 4,651 "," 4,799 "," 4,888 "," 4,695 "," 4,704 "," 4,743 "," 4,109 "," 4,278 "," 3,834 "," 3,648 "," 2,766 "," 1,762 "," 1,151 "," 1,064 "," 52,576 "," 102,176 "
"Forde","Participation rate (%)"," 77.6 "," 69.5 "," 69.7 "," 71.8 "," 72.8 "," 75.0 "," 78.7 "," 81.4 "," 84.2 "," 85.1 "," 88.3 "," 89.3 "," 86.7 "," 85.1 "," 77.5 "," 78.3 "," 76.1 "
"Griffith","Total participants"," 1,337 "," 4,877 "," 5,356 "," 5,074 "," 4,586 "," 4,343 "," 4,447 "," 3,782 "," 3,403 "," 2,858 "," 2,266 "," 1,777 "," 1,193 "," 968 "," 1,180 "," 47,447 "," 90,487 "
"Griffith","Eligible participants"," 1,570 "," 5,951 "," 6,503 "," 6,237 "," 5,493 "," 5,232 "," 5,192 "," 4,322 "," 3,908 "," 3,247 "," 2,545 "," 2,000 "," 1,353 "," 1,129 "," 1,476 "," 56,158 "," 110,620 "
"Griffith","Participation rate (%)"," 85.2 "," 82.0 "," 82.4 "," 81.4 "," 83.5 "," 83.0 "," 85.7 "," 87.5 "," 87.1 "," 88.0 "," 89.0 "," 88.9 "," 88.2 "," 85.7 "," 79.9 "," 84.5 "," 81.8 "
"Groom","Total participants"," 1,111 "," 3,080 "," 3,162 "," 3,168 "," 3,021 "," 3,205 "," 3,783 "," 3,681 "," 3,978 "," 3,657 "," 3,476 "," 3,058 "," 2,221 "," 1,647 "," 1,604 "," 43,852 "," 82,713 "
"Groom","Eligible participants"," 1,459 "," 4,387 "," 4,403 "," 4,254 "," 3,987 "," 4,175 "," 4,594 "," 4,381 "," 4,554 "," 4,105 "," 3,792 "," 3,345 "," 2,421 "," 1,860 "," 1,938 "," 53,655 "," 103,430 "
"Groom","Participation rate (%)"," 76.1 "," 70.2 "," 71.8 "," 74.5 "," 75.8 "," 76.8 "," 82.3 "," 84.0 "," 87.4 "," 89.1 "," 91.7 "," 91.4 "," 91.7 "," 88.5 "," 82.8 "," 81.7 "," 80.0 "
"Herbert","Total participants"," 1,198 "," 3,612 "," 3,564 "," 3,499 "," 3,276 "," 3,333 "," 3,616 "," 3,387 "," 3,635 "," 3,106 "," 2,663 "," 2,080 "," 1,480 "," 955 "," 860 "," 40,265 "," 76,758 "
"Herbert","Eligible participants"," 1,640 "," 5,602 "," 5,447 "," 5,067 "," 4,632 "," 4,647 "," 4,860 "," 4,401 "," 4,471 "," 3,693 "," 3,068 "," 2,361 "," 1,722 "," 1,132 "," 1,166 "," 53,911 "," 106,423 "
"Herbert","Participation rate (%)"," 73.0 "," 64.5 "," 65.4 "," 69.1 "," 70.7 "," 71.7 "," 74.4 "," 77.0 "," 81.3 "," 84.1 "," 86.8 "," 88.1 "," 85.9 "," 84.4 "," 73.8 "," 74.7 "," 72.1 "
"Hinkler","Total participants"," 785 "," 1,874 "," 1,934 "," 2,031 "," 2,240 "," 2,523 "," 3,129 "," 3,416 "," 4,120 "," 4,528 "," 4,863 "," 4,383 "," 3,097 "," 1,951 "," 1,655 "," 42,529 "," 80,505 "
"Hinkler","Eligible participants"," 1,098 "," 3,043 "," 2,996 "," 3,025 "," 3,282 "," 3,581 "," 4,077 "," 4,216 "," 4,893 "," 5,175 "," 5,407 "," 4,868 "," 3,475 "," 2,262 "," 2,067 "," 53,465 "," 102,930 "
"Hinkler","Participation rate (%)"," 71.5 "," 61.6 "," 64.6 "," 67.1 "," 68.3 "," 70.5 "," 76.7 "," 81.0 "," 84.2 "," 87.5 "," 89.9 "," 90.0 "," 89.1 "," 86.3 "," 80.1 "," 79.5 "," 78.2 "
"Kennedy","Total participants"," 635 "," 1,899 "," 2,181 "," 2,199 "," 2,447 "," 2,613 "," 3,216 "," 3,392 "," 3,782 "," 3,698 "," 3,307 "," 2,676 "," 1,898 "," 1,205 "," 1,063 "," 36,211 "," 71,207 "
"Kennedy","Eligible participants"," 949 "," 3,321 "," 3,764 "," 3,602 "," 3,799 "," 4,025 "," 4,624 "," 4,586 "," 4,855 "," 4,509 "," 3,889 "," 3,150 "," 2,291 "," 1,489 "," 1,436 "," 50,290 "," 101,001 "
"Kennedy","Participation rate (%)"," 66.9 "," 57.2 "," 57.9 "," 61.0 "," 64.4 "," 64.9 "," 69.6 "," 74.0 "," 77.9 "," 82.0 "," 85.0 "," 85.0 "," 82.8 "," 80.9 "," 74.0 "," 72.0 "," 70.5 "
"Leichhardt","Total participants"," 806 "," 2,332 "," 2,728 "," 3,015 "," 3,280 "," 3,577 "," 3,892 "," 3,819 "," 4,007 "," 3,586 "," 3,005 "," 2,179 "," 1,279 "," 831 "," 758 "," 39,094 "," 75,595 "
"Leichhardt","Eligible participants"," 1,160 "," 4,231 "," 4,784 "," 4,944 "," 5,060 "," 5,391 "," 5,575 "," 5,222 "," 5,236 "," 4,469 "," 3,587 "," 2,631 "," 1,531 "," 1,015 "," 1,015 "," 55,851 "," 111,436 "
"Leichhardt","Participation rate (%)"," 69.5 "," 55.1 "," 57.0 "," 61.0 "," 64.8 "," 66.4 "," 69.8 "," 73.1 "," 76.5 "," 80.2 "," 83.8 "," 82.8 "," 83.5 "," 81.9 "," 74.7 "," 70.0 "," 67.8 "
"Lilley","Total participants"," 1,202 "," 3,649 "," 3,963 "," 4,129 "," 3,866 "," 4,094 "," 4,233 "," 3,767 "," 3,823 "," 3,337 "," 2,928 "," 2,625 "," 2,103 "," 1,671 "," 1,821 "," 47,211 "," 88,880 "
"Lilley","Eligible participants"," 1,467 "," 4,677 "," 4,956 "," 5,127 "," 4,797 "," 4,923 "," 5,087 "," 4,435 "," 4,372 "," 3,788 "," 3,286 "," 2,887 "," 2,332 "," 1,917 "," 2,289 "," 56,340 "," 109,129 "
